phone_access_id,phone_id,access_time,action
1,12345,"2013-09-19 00:00:00",play
2,12345,"2013-09-20 00:00:00",play
3,12345,"2013-09-20 00:00:00",update
4,12345,"2013-09-20 00:00:00",update
5,12345,"2013-09-20 00:00:00",update
6,15107977926,"2013-09-20 00:00:00",update
7,track,"2013-09-20 00:00:00",12345
8,12345,"2013-09-20 00:00:00",update
9,18652957597,"2013-09-22 00:00:00",scan
10,359836040509733,"2013-09-23 00:00:00",scan2
11,359836040509733,"2013-09-23 00:00:00",scan2
12,12333,"2013-09-23 05:30:53",TEST2
13,359836040509733,"2013-09-23 05:34:48",scan2
14,12333,"2013-09-23 06:00:50",TEST2
15,359836040509733,"2013-09-23 13:31:18",scan2
16,359836040509733,"2013-09-24 00:06:31",scan2
17,359836040509733,"2013-09-24 01:18:00",scan2
18,359836040509733,"2013-09-24 01:39:34",scan2
19,359836040509733,"2013-09-24 01:44:44",scan2
20,359836040509733,"2013-09-24 01:45:10",scan2
21,359836040509733,"2013-09-24 01:47:17",scan2
22,359836040509733,"2013-09-24 01:57:57",scan2
23,359836040509733,"2013-09-24 02:07:25",scan1
24,359836040509733,"2013-09-24 02:09:12",scan2
25,359836040509733,"2013-09-24 02:10:36",scan2
26,359836040509733,"2013-09-24 02:12:07",scan2
27,359836040509733,"2013-09-24 02:16:35",scan2
28,A1000032851D641,"2013-09-24 02:58:11",open
29,A1000032851D641,"2013-09-24 02:58:59",open
30,A1000032851D641,"2013-09-24 03:00:23",open
31,A1000032851D641,"2013-09-24 03:04:01",open
32,860505021050957,"2013-09-24 03:12:10",open
33,860505021050957,"2013-09-24 03:13:24",open
34,860505021050957,"2013-09-24 03:14:31",open
35,860505021050957,"2013-09-24 03:16:02",open
36,860505021050957,"2013-09-24 03:24:00",open
37,99000316233522,"2013-09-24 03:38:23",open
38,99000316233522,"2013-09-24 03:51:24",open
39,99000316233522,"2013-09-24 03:51:24",open
40,99000316233522,"2013-09-24 03:52:11",open
41,99000316233522,"2013-09-24 03:52:20",open
42,99000316233522,"2013-09-24 04:00:00",open
43,99000316233522,"2013-09-24 04:00:11",AD1
44,99000316233522,"2013-09-24 04:00:16",AD2
45,99000316233522,"2013-09-24 04:00:19",AD3
